NO,True Label,Predicted Label,TP,TN,FP,FN
1,Tertimpa Benda-Benda Jatuh,Tertimpa Benda-Benda Jatuh,1,0,0,0
2,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
3,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
4,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
5,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
6,Terperangkap di dalam atau diantara benda-benda,Tertimpa Benda-Benda Jatuh,0,0,0,1
7,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
8,Melakukan Gerakan Berat,Melakukan Gerakan Berat,1,0,0,0
9,Terjatuh,Terjatuh,1,0,0,0
10,Paparan/Kontak dengan Suhu Ekstrem ,Paparan/Kontak dengan Suhu Ekstrem ,1,0,0,0
11,Paparan/Kontak dengan Suhu Ekstrem ,Paparan/Kontak dengan Suhu Ekstrem ,1,0,0,0
12,Terjatuh,Terjatuh,1,0,0,0
13,"Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh","Menginjak, Menabrak, atau Tertimpa Benda, kecuali Benda yang Jatuh",1,0,0,0
14,Kontak dengan Arus Listrik,Kontak dengan Arus Listrik,1,0,0,0
15,Paparan/Kontak dengan Suhu Ekstrem ,Paparan/Kontak dengan Suhu Ekstrem ,1,0,0,0
16,Paparan/Kontak dengan Suhu Ekstrem ,Paparan/Kontak dengan Suhu Ekstrem ,1,0,0,0
17,Terjatuh,Tertimpa Benda-Benda Jatuh,0,0,0,1
18,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,Paparan/Kontak dengan Zat atau Radiasi Berbahaya,1,0,0,0
